# Region type :   patch main_inlet
# Faces           : 348
# Area            : 8.2964479394e-02
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.45195691        	-3.3525132052e+01
0.45489299        	-3.3527729556e+01
0.4578629         	-3.3528459104e+01
0.46087167        	-3.3528041550e+01
0.46393056        	-3.3528011779e+01
0.46704497        	-3.3530685356e+01
0.47022395        	-3.3538792049e+01
0.4734652         	-3.3554724614e+01
0.47676048        	-3.3579662093e+01
0.48009674        	-3.3612944813e+01
0.483464          	-3.3652010253e+01
0.4868387         	-3.3692721545e+01
0.49025553        	-3.3731265336e+01
0.49367464        	-3.3763747719e+01
0.49709375        	-3.3788374174e+01
0.50051429        	-3.3804935499e+01
0.50392789        	-3.3814115464e+01
0.50730187        	-3.3817008888e+01
0.51062323        	-3.3815038408e+01
0.51388488        	-3.3809811450e+01
0.51708651        	-3.3802930406e+01
0.52023527        	-3.3795754069e+01
0.52333721        	-3.3789285646e+01
0.52639922        	-3.3784156298e+01
0.52942631        	-3.3780705689e+01
0.53242128        	-3.3779031445e+01
0.53538441        	-3.3778923602e+01
0.53831358        	-3.3779736338e+01
0.541206          	-3.3780334976e+01
0.54405911        	-3.3779241618e+01
0.5468724         	-3.3774943946e+01
0.54964859        	-3.3766239651e+01
0.55239228        	-3.3752483848e+01
0.55510785        	-3.3733685736e+01
0.55780146        	-3.3710458478e+01
0.56047676        	-3.3683936939e+01
0.56313676        	-3.3655600817e+01
0.56578484        	-3.3627065699e+01
0.5684227         	-3.3599900617e+01
0.5710524         	-3.3575416181e+01
0.57367319        	-3.3554547604e+01
0.57629277        	-3.3537717528e+01
0.57891235        	-3.3525023329e+01
0.58153728        	-3.3516279158e+01
0.58417482        	-3.3511157766e+01
0.58683166        	-3.3509250361e+01
0.58950966        	-3.3510055682e+01
0.59220831        	-3.3512947154e+01
0.59494224        	-3.3517211803e+01
0.59767616        	-3.3522017197e+01
0.60042017        	-3.3526656422e+01
0.60323849        	-3.3530630614e+01
0.60608521        	-3.3533419152e+01
0.60896002        	-3.3534789508e+01
0.61186442        	-3.3534749417e+01
0.614802          	-3.3533643816e+01
0.61777708        	-3.3532309347e+01
0.6207956         	-3.3532081891e+01
0.62386354        	-3.3534692110e+01
0.62698303        	-3.3541995154e+01
0.63015292        	-3.3555475609e+01
0.63336796        	-3.3575725856e+01
0.6366214         	-3.3602137296e+01
0.63990724        	-3.3632942644e+01
0.64321974        	-3.3665557262e+01
0.64655753        	-3.3697193819e+01
0.64991515        	-3.3725381807e+01
0.6532868         	-3.3748459973e+01
0.65665959        	-3.3765675474e+01
0.66001901        	-3.3777055676e+01
0.66335101        	-3.3783125825e+01
0.66664466        	-3.3784735644e+01
0.66989497        	-3.3782988699e+01
0.67310202        	-3.3779168699e+01
0.67626757        	-3.3774607056e+01
0.67939568        	-3.3770468351e+01
0.68248736        	-3.3767577092e+01
0.68554514        	-3.3766303274e+01
0.68856903        	-3.3766555218e+01
0.69156293        	-3.3767821875e+01
0.6945233         	-3.3769246359e+01
0.69748368        	-3.3769745383e+01
0.70043062        	-3.3768107242e+01
0.70328288        	-3.3763402374e+01
0.70610374        	-3.3754902541e+01
0.70889566        	-3.3742301961e+01
0.71166196        	-3.3725751089e+01
0.71440635        	-3.3705810978e+01
0.71713197        	-3.3683414586e+01
0.71984133        	-3.3659760261e+01
0.72253749        	-3.3636047202e+01
0.72522269        	-3.3613407321e+01
0.72789948        	-3.3592811524e+01
0.73057158        	-3.3574973319e+01
0.73324191        	-3.3560357976e+01
0.73591547        	-3.3549162649e+01
0.73859605        	-3.3541357864e+01
0.74128783        	-3.3536727381e+01
0.74399421        	-3.3534889147e+01
0.74671938        	-3.3535308787e+01
0.74946494        	-3.3537342190e+01
0.75223268        	-3.3540274319e+01
0.7550235         	-3.3543373182e+01
0.75783833        	-3.3545983445e+01
0.7606778         	-3.3547619195e+01
0.76354472        	-3.3548049415e+01
0.76643842        	-3.3547364001e+01
0.76936372        	-3.3546002670e+01
0.77232219        	-3.3544752299e+01
0.77531757        	-3.3544685857e+01
0.77835253        	-3.3547042746e+01
0.78142755        	-3.3553039384e+01
0.78453969        	-3.3563615792e+01
0.7876909         	-3.3579211301e+01
0.79088167        	-3.3599577478e+01
0.79408108        	-3.3623488889e+01
0.7972805         	-3.3649253004e+01
0.800491          	-3.3675110865e+01
0.80377223        	-3.3699716579e+01
0.80706436        	-3.3721058467e+01
0.81035935        	-3.3738070327e+01
0.81364733        	-3.3750292113e+01
0.81691907        	-3.3757849732e+01
0.82016647        	-3.3761327720e+01
0.82338441        	-3.3761636034e+01
0.82656988        	-3.3759862152e+01
0.82972321        	-3.3757130936e+01
0.83284398        	-3.3754439340e+01
0.83593389        	-3.3752530069e+01
0.83899282        	-3.3751795302e+01
0.84202176        	-3.3752226864e+01
0.84502013        	-3.3753435929e+01
0.84798776        	-3.3754729623e+01
0.85092396        	-3.3755230462e+01
0.85383061        	-3.3754015181e+01
0.85670692        	-3.3750262585e+01
0.8595558         	-3.3743375757e+01
0.86237886        	-3.3733080976e+01
0.86517885        	-3.3719467025e+01
0.86795877        	-3.3702970371e+01
0.87072134        	-3.3684317304e+01
0.87346844        	-3.3664433527e+01
0.87620287        	-3.3644313817e+01
0.87892468        	-3.3624937183e+01
0.88164408        	-3.3607091030e+01
0.88436348        	-3.3591443945e+01
0.88708287        	-3.3578466003e+01
0.88980227        	-3.3568394376e+01
0.89252166        	-3.3561240057e+01
0.89524106        	-3.3556813040e+01
0.89796045        	-3.3554752837e+01
0.90069023        	-3.3554561995e+01
0.90346124        	-3.3555676587e+01
0.90625048        	-3.3557462872e+01
0.90905914        	-3.3559296312e+01
0.91188878        	-3.3560650634e+01
0.91474018        	-3.3561181474e+01
0.91761466        	-3.3560814231e+01
0.92051444        	-3.3559738684e+01
0.92344148        	-3.3558414423e+01
0.92639761        	-3.3557553608e+01
0.92938526        	-3.3558037895e+01
0.93240485        	-3.3560799375e+01
0.93545684        	-3.3566679846e+01
0.93854123        	-3.3576271649e+01
0.94165689        	-3.3589757280e+01
0.94480146        	-3.3606817216e+01
0.94797224        	-3.3626633952e+01
0.95116585        	-3.3647987840e+01
0.95437723        	-3.3669436421e+01
0.95760266        	-3.3689561744e+01
0.96083853        	-3.3707171277e+01
0.96407501        	-3.3721424085e+01
0.96730842        	-3.3731957195e+01
0.97052754        	-3.3738806813e+01
0.97372902        	-3.3742399632e+01
0.97690711        	-3.3743438952e+01
0.98006117        	-3.3742793041e+01
0.98319033        	-3.3741361335e+01
0.98629658        	-3.3739938986e+01
0.989376          	-3.3739097184e+01
